t,r,snimac1,ym,spir,theta1,theta2,theta3,ypb,Ts,vent
0.100000,0.000785,4.925710,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.200008,0.001571,4.915909,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100008,6.000000
0.300012,0.002356,4.906108,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.400016,0.003142,4.935510,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.500020,0.003927,4.925710,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.600024,0.004713,4.935510,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.700028,0.005498,4.886505,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.800028,0.006283,4.866901,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.900032,0.007069,4.866901,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
1.000032,0.007854,4.886505,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.100032,0.008639,4.876703,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.200036,0.009425,4.876703,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
1.300040,0.010210,4.866901,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
1.400040,0.010995,4.837492,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.500040,0.011780,4.876703,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.600044,0.012565,4.886505,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
1.700044,0.013351,4.876703,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.800044,0.014136,4.857098,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
