t,r,snimac1,ym,spir,theta1,theta2,theta3,ypb,Ts,vent
0.100004,0.000785,3.064635,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.200008,0.001571,3.084453,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.300008,0.002356,3.124080,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.400008,0.003142,3.124080,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.500008,0.003927,3.064635,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.600008,0.004712,3.104268,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.700008,0.005498,3.084453,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.800008,0.006283,3.124080,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.900008,0.007068,3.114174,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.000012,0.007854,3.143888,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
1.100012,0.008639,3.114174,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.200012,0.009424,3.133984,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.300012,0.010210,3.153791,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.400012,0.010995,3.183495,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.500012,0.011780,3.213191,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.600016,0.012565,3.213191,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
1.700016,0.013350,3.203293,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.800016,0.014135,3.232985,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.900020,0.014921,3.262669,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
2.000024,0.015706,3.282455,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
2.100028,0.016491,3.322017,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
2.200032,0.017276,3.312128,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
2.300036,0.018061,3.322017,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
2.400040,0.018845,3.341794,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
2.500044,0.019630,3.381338,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
2.600044,0.020415,3.401105,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
2.700044,0.021200,3.450510,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
2.800044,0.021984,3.440631,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
2.900048,0.022769,3.460389,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
3.000048,0.023554,3.480145,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
3.100048,0.024338,3.519647,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
3.200048,0.025123,3.559138,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
3.300048,0.025907,3.569009,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
3.400052,0.026691,3.569009,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
3.500056,0.027476,3.598618,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
3.600056,0.028260,3.638087,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
