t,Ts,snimac1,setpoint_pb,y_pb,u_pb,u,vent
0.100004,0.100004,4.974709,0.350000,4.974709,4.000000,4.000000,6.000000
0.200004,0.100000,4.984507,0.350000,4.984507,4.000000,4.000000,6.000000
0.300008,0.100004,4.974709,0.350000,4.974709,4.000000,4.000000,6.000000
0.400008,0.100000,5.013902,0.350000,5.013902,4.000000,4.000000,6.000000
0.500012,0.100004,4.984507,0.350000,4.984507,4.000000,4.000000,6.000000
0.600012,0.100000,4.994306,0.350000,4.994306,4.000000,4.000000,6.000000
0.700012,0.100000,5.072684,0.350000,5.072684,4.000000,4.000000,6.000000
0.800012,0.100000,5.102071,0.350000,5.102071,4.000000,4.000000,6.000000
0.900016,0.100004,5.102071,0.350000,5.102071,4.000000,4.000000,6.000000
1.000020,0.100004,5.111866,0.350000,5.111866,4.000000,4.000000,6.000000
1.100020,0.100000,5.102071,0.350000,5.102071,4.000000,4.000000,6.000000
1.200024,0.100004,5.121661,0.350000,5.121661,4.000000,4.000000,6.000000
1.300028,0.100004,5.180425,0.350000,5.180425,4.000000,4.000000,6.000000
1.400028,0.100000,5.160838,0.350000,5.160838,4.000000,4.000000,6.000000
1.500028,0.100000,5.180425,0.350000,5.180425,4.000000,4.000000,6.000000
1.600028,0.100000,5.190218,0.350000,5.190218,4.000000,4.000000,6.000000
1.700028,0.100000,5.200011,0.350000,5.200011,4.000000,4.000000,6.000000
1.800028,0.100000,5.180425,0.350000,5.180425,4.000000,4.000000,6.000000
1.900028,0.100000,5.209804,0.350000,5.209804,4.000000,4.000000,6.000000
2.000032,0.100004,5.248972,0.350000,5.248972,4.000000,4.000000,6.000000
2.100036,0.100004,5.248972,0.350000,5.248972,4.000000,4.000000,6.000000
2.200036,0.100000,5.219596,0.350000,5.219596,4.000000,4.000000,6.000000
2.300040,0.100004,5.229388,0.350000,5.229388,4.000000,4.000000,6.000000
2.400044,0.100004,5.268555,0.350000,5.268555,4.000000,4.000000,6.000000
2.500048,0.100004,5.297927,0.350000,5.297927,4.000000,4.000000,6.000000
2.600048,0.100000,5.327298,0.350000,5.327298,4.000000,4.000000,6.000000
2.700048,0.100000,5.327298,0.350000,5.327298,4.000000,4.000000,6.000000
2.800052,0.100004,5.317508,0.350000,5.317508,4.000000,4.000000,6.000000
2.900056,0.100004,5.317508,0.350000,5.317508,4.000000,4.000000,6.000000
3.000056,0.100000,5.366456,0.350000,5.366456,4.000000,4.000000,6.000000
3.100056,0.100000,5.376245,0.350000,5.376245,4.000000,4.000000,6.000000
3.200056,0.100000,5.376245,0.350000,5.376245,4.000000,4.000000,6.000000
3.300060,0.100004,5.395823,0.350000,5.395823,4.000000,4.000000,6.000000
3.400064,0.100004,5.395823,0.350000,5.395823,4.000000,4.000000,6.000000
3.500068,0.100004,5.386034,0.350000,5.386034,4.000000,4.000000,6.000000
3.600072,0.100004,5.415400,0.350000,5.415400,4.000000,4.000000,6.000000
3.700076,0.100004,5.434976,0.350000,5.434976,4.000000,4.000000,6.000000
3.800076,0.100000,5.464338,0.350000,5.464338,4.000000,4.000000,6.000000
3.900080,0.100004,5.415400,0.350000,5.415400,4.000000,4.000000,6.000000
4.000080,0.100000,5.454551,0.350000,5.454551,4.000000,4.000000,6.000000
4.100080,0.100000,5.464338,0.350000,5.464338,4.000000,4.000000,6.000000
4.200080,0.100000,5.493700,0.350000,5.493700,4.000000,4.000000,6.000000
4.300080,0.100000,5.503487,0.350000,5.503487,4.000000,4.000000,6.000000
4.400084,0.100004,5.513273,0.350000,5.513273,4.000000,4.000000,6.000000
4.500084,0.100000,5.503487,0.350000,5.503487,4.000000,4.000000,6.000000
4.600084,0.100000,5.523060,0.350000,5.523060,4.000000,4.000000,6.000000
4.700084,0.100000,5.562205,0.350000,5.562205,4.000000,4.000000,6.000000
4.800084,0.100000,5.591562,0.350000,5.591562,4.000000,4.000000,6.000000
4.900088,0.100004,5.620918,0.350000,5.620918,4.000000,4.000000,6.000000
5.000088,0.100000,5.601347,0.350000,5.601347,4.000000,4.000000,6.000000
5.100088,0.100000,5.562205,0.350000,5.562205,4.000000,4.000000,6.000000
5.200088,0.100000,5.581776,0.350000,5.581776,4.000000,4.000000,6.000000
