t,r_l,r_g,r_gf,snimac1,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,Ts,vent
0.100000,0.000000,0.000000,0.000000,3.638087,0.000000,0.000000,0.000000,-10.077501,0.000000,0,1.480000,2.770000,0.100000,6.000000
0.200000,0.000000,0.000000,0.000000,3.628221,0.000000,0.000000,0.000000,-10.588608,0.000000,0,1.480000,2.770000,0.100000,6.000000
0.300000,0.000000,0.000000,0.000000,3.638087,0.000000,0.000000,0.000000,-11.152915,0.000000,0,1.480000,2.770000,0.100000,6.000000
0.400004,0.000000,0.000000,0.000000,3.628221,0.000000,0.000000,0.000000,-11.664022,0.000000,0,1.480000,2.770000,0.100004,6.000000
0.500004,0.000000,0.000000,0.000000,3.628221,0.000000,0.000000,0.000000,-12.201020,0.000000,0,1.480000,2.770000,0.100000,6.000000
0.600008,0.000000,0.000000,0.000000,3.687407,0.000000,0.000000,0.000000,-12.901945,0.000000,0,1.480000,2.770000,0.100004,6.000000
0.700012,0.000000,0.000000,0.000000,3.687407,0.000000,0.000000,0.000000,-13.447703,0.000000,0,1.480000,2.770000,0.100004,6.000000
0.800012,0.000000,0.000000,0.000000,3.697269,0.000000,0.000000,0.000000,-14.020778,0.000000,0,1.480000,2.770000,0.100000,6.000000
0.900012,0.000000,0.000000,0.000000,3.726852,0.000000,0.000000,0.000000,-14.649918,0.000000,0,1.480000,2.770000,0.100000,6.000000
1.000012,0.000000,6.341200,0.000000,3.716992,0.000000,0.039441,0.039441,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
1.100016,0.000000,6.341200,0.000000,3.726852,0.000000,0.000000,-0.260189,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
1.200020,0.000000,6.341200,0.000634,3.736711,0.000000,0.000000,-0.557979,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
1.300024,0.000000,6.341200,0.001890,3.746570,0.000000,0.000000,-0.853929,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
1.400028,0.000000,6.341200,0.003754,3.736711,0.000000,0.000000,-1.069172,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
1.500028,0.000000,6.341200,0.006216,3.746570,0.000000,0.000000,-1.360080,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
1.600028,0.000000,6.341200,0.009261,3.746570,0.000000,0.000000,-1.609721,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
1.700032,0.000000,6.341200,0.012880,3.559138,0.000000,0.000000,-1.107133,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
1.800032,0.000000,6.341200,0.017059,3.746570,0.000000,0.000000,-2.088391,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
1.900032,0.000000,6.341200,0.021788,3.736711,0.000000,0.000000,-2.291107,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
2.000036,0.000000,6.341200,0.027054,3.736711,0.000000,0.000000,-2.530086,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
2.100040,0.000000,6.341200,0.032847,3.736711,0.000000,0.000000,-2.766602,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
2.200044,0.000000,6.341200,0.039156,3.716992,0.000000,0.000000,-2.921770,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
2.300044,0.000000,6.341200,0.045969,3.707131,0.000000,0.000000,-3.112531,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
2.400044,0.000000,6.341200,0.053276,3.697269,0.000000,0.000000,-3.300137,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
2.500044,0.000000,6.341200,0.061067,3.697269,0.000000,0.000000,-3.524054,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
2.600048,0.000000,6.341200,0.069330,3.716992,0.000000,0.000000,-3.824424,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
2.700048,0.000000,6.341200,0.078057,3.697269,0.000000,0.000000,-3.965974,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
2.800052,0.000000,6.341200,0.087236,3.667681,0.000000,0.000000,-4.064251,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
2.900052,0.000000,6.341200,0.096858,3.667681,0.000000,0.000000,-4.276403,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
3.000052,0.000000,6.341200,0.106912,3.687407,0.000000,0.000000,-4.565049,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
3.100052,0.000000,6.341200,0.117390,3.667681,0.000000,0.000000,-4.694865,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
3.200056,0.000000,6.341200,0.128282,3.657817,0.000000,0.000000,-4.860362,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
3.300060,0.000000,6.341200,0.139579,3.647952,0.000000,0.000000,-5.022794,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
3.400064,0.000000,6.341200,0.151271,3.647952,0.000000,0.000000,-5.221621,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
3.500064,0.000000,6.341200,0.163350,3.628221,0.000000,0.000000,-5.339156,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
3.600064,0.000000,6.341200,0.175805,3.608486,0.000000,0.000000,-5.452938,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
3.700068,0.000000,6.341200,0.188630,3.618354,0.000000,0.000000,-5.681399,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
3.800068,0.000000,6.341200,0.201815,3.608486,0.000000,0.000000,-5.829281,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
3.900072,0.000000,6.341200,0.215350,3.598618,0.000000,0.000000,-5.974130,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
4.000076,0.000000,6.341200,0.229230,3.608486,0.000000,0.000000,-6.194924,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
4.100076,0.000000,6.341200,0.243445,3.598618,0.000000,0.000000,-6.335149,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
4.200076,0.000000,6.341200,0.257986,3.578880,0.000000,0.000000,-6.432892,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
4.300080,0.000000,6.341200,0.272846,3.569009,0.000000,0.000000,-6.566434,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
4.400080,0.000000,6.341200,0.288017,3.559138,0.000000,0.000000,-6.697004,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
4.500080,0.000000,6.341200,0.303492,3.559138,0.000000,0.000000,-6.864084,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
4.600080,0.000000,6.341200,0.319262,3.559138,0.000000,0.000000,-7.028899,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
4.700088,0.000000,6.341200,0.335321,3.549267,0.000000,0.000000,-7.151968,0.000000,0.000000,1,1.480000,2.770000,0.100008,6.000000
4.800088,0.000000,6.341200,0.351662,3.549267,0.000000,0.000000,-7.311598,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
4.900092,0.000000,6.341200,0.368276,3.519647,0.000000,0.000000,-7.350499,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
5.000092,0.000000,6.341200,0.385157,3.519647,0.000000,0.000000,-7.503580,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
5.100092,0.000000,6.341200,0.402297,3.519647,0.000000,0.000000,-7.654435,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
5.200096,0.000000,6.341200,0.419689,3.499898,0.000000,0.000000,-7.724080,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
5.300096,0.000000,6.341200,0.437329,3.480145,0.000000,0.000000,-7.790133,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
5.400096,0.000000,6.341200,0.455207,3.460389,0.000000,0.000000,-7.852596,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
5.500100,0.000000,6.341200,0.473318,3.480145,0.000000,0.000000,-8.069537,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
5.600100,0.000000,6.341200,0.491656,3.470268,0.000000,0.000000,-8.167161,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
5.700100,0.000000,6.341200,0.510213,3.460389,0.000000,0.000000,-8.261922,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
5.800100,0.000000,6.341200,0.528985,3.440631,0.000000,0.000000,-8.314315,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
5.900100,0.000000,6.341200,0.547964,3.450510,0.000000,0.000000,-8.481734,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
6.000104,0.000000,6.341200,0.567144,3.430751,0.000000,0.000000,-8.529150,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
6.100104,0.000000,6.341200,0.586521,3.410988,0.000000,0.000000,-8.573051,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
6.200108,0.000000,6.341200,0.606087,3.430751,0.000000,0.000000,-8.771552,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
6.300112,0.000000,6.341200,0.625838,3.420870,0.000000,0.000000,-8.850757,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
6.400112,0.000000,6.341200,0.645768,3.391222,0.000000,0.000000,-8.848107,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
6.500112,0.000000,6.341200,0.665870,3.381338,0.000000,0.000000,-8.920346,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
6.600112,0.000000,6.341200,0.686139,3.371453,0.000000,0.000000,-8.989812,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
6.700116,0.000000,6.341200,0.706570,3.381338,0.000000,0.000000,-9.135598,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
6.800116,0.000000,6.341200,0.727159,3.381338,0.000000,0.000000,-9.240482,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
6.900120,0.000000,6.341200,0.747899,3.371453,0.000000,0.000000,-9.303775,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
7.000120,0.000000,6.341200,0.768787,3.361567,0.000000,0.000000,-9.364340,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
7.100124,0.000000,6.341200,0.789815,3.341794,0.000000,0.000000,-9.382627,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
7.200124,0.000000,6.341200,0.810981,3.351681,0.000000,0.000000,-9.516159,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
7.300124,0.000000,6.341200,0.832278,3.331906,0.000000,0.000000,-9.529720,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
7.400128,0.000000,6.341200,0.853701,3.331906,0.000000,0.000000,-9.618998,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
7.500132,0.000000,6.341200,0.875249,3.322017,0.000000,0.000000,-9.666737,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
7.600132,0.000000,6.341200,0.896914,3.312128,0.000000,0.000000,-9.711801,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
7.700136,0.000000,6.341200,0.918691,3.302238,0.000000,0.000000,-9.754196,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
7.800136,0.000000,6.341200,0.940578,3.312128,0.000000,0.000000,-9.873064,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
7.900136,0.000000,6.341200,0.962569,3.312128,0.000000,0.000000,-9.951108,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
8.000137,0.000000,6.341200,0.984660,3.292347,0.000000,0.000000,-9.948089,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
8.100136,0.000000,6.341200,1.006847,3.292347,0.000000,0.000000,-10.020879,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
8.200137,0.000000,6.341200,1.029126,3.292347,0.000000,0.000000,-10.091747,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
8.300136,0.000000,6.341200,1.051493,3.282455,0.000000,0.000000,-10.121138,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
8.400140,0.000000,6.341200,1.073944,3.272563,0.000000,0.000000,-10.147933,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
8.500141,0.000000,6.341200,1.096475,3.262669,0.000000,0.000000,-10.172142,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
8.600140,0.000000,6.341200,1.119082,3.252775,0.000000,0.000000,-10.193774,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
8.700140,0.000000,6.341200,1.141761,3.252775,0.000000,0.000000,-10.252416,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
8.800145,0.000000,6.341200,1.164509,3.242881,0.000000,0.000000,-10.269617,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
8.900144,0.000000,6.341200,1.187322,3.252775,0.000000,0.000000,-10.363433,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.000144,0.000000,6.341200,1.210197,3.242881,0.000000,0.000000,-10.376938,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.100145,0.000000,6.341200,1.233129,3.232985,0.000000,0.000000,-10.387915,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.200144,0.000000,6.341200,1.256115,3.223088,0.000000,0.000000,-10.396373,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.300145,0.000000,6.341200,1.279153,3.232985,0.000000,0.000000,-10.481497,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
9.400149,0.000000,6.341200,1.302238,3.223088,0.000000,0.000000,-10.486338,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
