time,spir,snimac1,spir_n,snimac1_n
0,4,2.783203125,0,-3.59462332966191
0.1,4,2.8125,0,-3.56534631332889
0.2,4,2.841796875,0,-3.53606929699586
0.3,4,2.8466796875,0,-3.53120634316284
0.4,4,2.8173828125,0,-3.56052307682982
0.5,4,2.8369140625,0,-3.5410116854968
0.6,4,2.8125,0,-3.56544560666377
0.7,4,2.880859375,0,-3.49710609033075
0.8,4,2.880859375,0,-3.49712594899773
0.9,4,2.8759765625,0,-3.50202862016471
1,4,2.9052734375,0,-3.47275160383168
1.1,4,2.9248046875,0,-3.45324021249866
1.2,4,2.96875,0,-3.40931475866564
1.3,4,2.9833984375,0,-3.39468617983262
1.4,4,2.9443359375,0,-3.43376853849959
1.5,4,3.0224609375,0,-3.35566339716657
1.6,4,2.9931640625,0,-3.38498013083355
1.7,4,3.0419921875,0,-3.33617186450053
1.8,4,3.1005859375,0,-3.2775979731675
1.9,4,3.10546875,0,-3.27273501933448
2,4,3.154296875,0,-3.22392675300146
2.1,4,3.173828125,0,-3.20441536166844
2.2,4,3.1787109375,0,-3.19955240783542
2.3,4,3.2421875,0,-3.13609570400239
2.4,4,3.251953125,0,-3.12634993766937
2.5,4,3.310546875,0,-3.06777604633635
2.6,4,3.3203125,0,-3.05803028000333
2.7,4,3.3447265625,0,-3.0336360761703
2.8,4,3.369140625,0,-3.00924187233728
2.9,4,3.4130859375,0,-2.96531641850426
3,4,3.4521484375,0,-2.92627377717124
3.1,4,3.45703125,0,-2.92141082333821
3.2,4,3.4716796875,0,-2.90678224450519
3.3,4,3.49609375,0,-2.88238804067217
3.4,4,3.583984375,0,-2.79451727433915
3.5,4,3.57421875,0,-2.80430275800612
3.6,4,3.6279296875,0,-2.7506116791731
3.7,4,3.6474609375,0,-2.73110028784008
3.8,4,3.642578125,0,-2.73600295900706
3.9,4,3.7060546875,0,-2.67254625517403
4,4,3.7353515625,0,-2.64326923884101
4.1,4,3.7646484375,0,-2.61399222250799
4.2,4,3.8134765625,0,-2.56518395617497
4.3,4,3.80859375,0,-2.57008662734194
4.4,4,3.837890625,0,-2.54080961100892
4.5,4,3.8916015625,0,-2.4871185321759
4.6,4,3.9404296875,0,-2.43831026584288
4.7,4,3.9453125,0,-2.43344731200985
4.8,4,3.955078125,0,-2.42370154567683
4.9,4,3.9990234375,0,-2.37977609184381
5,4,4.072265625,0,-2.30655376301079
5.1,4,4.0625,0,-2.31633924667777
5.2,4,4.0869140625,0,-2.29194504284474
5.3,4,4.1064453125,0,-2.27243365151172
5.4,4,4.140625,0,-2.2382738226787
5.5,4,4.1650390625,0,-2.21387961884568
5.6,4,4.2333984375,0,-2.14554010251265
5.7,4,4.2138671875,0,-2.16509121117963
5.8,4,4.248046875,0,-2.13093138234661
5.9,4,4.287109375,0,-2.09188874101359
6,4,4.2919921875,0,-2.08702578718056
6.1,4,4.326171875,0,-2.05286595834754
6.2,4,4.3505859375,0,-2.02847175451452
6.3,4,4.3701171875,0,-2.0089603631815
6.4,4,4.39453125,0,-1.98456615934847
6.5,4,4.375,0,-2.00411726801545
6.6,4,4.3994140625,0,-1.97972306418243
6.7,4,4.4921875,0,-1.88696948534941
6.8,4,4.5068359375,0,-1.87234090651638
6.9,4,4.53125,0,-1.84794670268336
7,4,4.541015625,0,-1.83820093635034
7.1,4,4.541015625,0,-1.83822079501732
7.2,4,4.5849609375,0,-1.79429534118429
7.3,4,4.599609375,0,-1.77966676235127
7.4,4,4.599609375,0,-1.77968662101825
7.5,4,4.619140625,0,-1.76017522968523
7.6,4,4.638671875,0,-1.74066383835221
7.7,4,4.6533203125,0,-1.72603525951918
7.8,4,4.6826171875,0,-1.69675824318616
7.9,4,4.7314453125,0,-1.64794997685314
8,4,4.7216796875,0,-1.65773546052012
8.1,4,4.7705078125,0,-1.60892719418709
8.2,4,4.765625,0,-1.61382986535407
8.3,4,4.814453125,0,-1.56502159902105
8.4,4,4.794921875,0,-1.58457270768803
8.5,4,4.8291015625,0,-1.550412878855
8.6,4,4.833984375,0,-1.54554992502198
8.7,4,4.833984375,0,-1.54556978368896
8.8,4,4.8779296875,0,-1.50164432985594
8.9,4,4.90234375,0,-1.47725012602291
9,4,4.912109375,0,-1.46750435968989
9.1,4,4.951171875,0,-1.42846171835687
9.2,4,4.912109375,0,-1.46754407702385
9.3,4,4.912109375,0,-1.46756393569082
9.4,4,5.009765625,0,-1.3699275443578
9.5,4,5.0341796875,0,-1.34553334052478
9.6,4,5.0390625,0,-1.34067038669176
9.7,4,5.0244140625,0,-1.35533868285873
9.8,4,5.029296875,0,-1.35047572902571
9.9,4,5.01953125,0,-1.36026121269269
10,4,5.078125,0,-1.30168732135967
10.1,4,5.1025390625,0,-1.27729311752664
10.2,4,5.0927734375,0,-1.28707860119362
10.3,4,5.15625,0,-1.2236218973606
10.4,4,5.126953125,0,-1.25293863102758
10.5,4,5.13671875,0,-1.24319286469455
10.6,4,5.1708984375,0,-1.20903303586153
10.7,4,5.205078125,0,-1.17487320702851
10.8,4,5.1806640625,0,-1.19930712819549
10.9,4,5.17578125,0,-1.20420979936246
11,4,5.205078125,0,-1.17493278302944
11.1,4,5.2587890625,0,-1.12124170419642
11.2,4,5.2587890625,0,-1.1212615628634
11.3,4,5.2880859375,0,-1.09198454653037
11.4,4,5.263671875,0,-1.11641846769735
11.5,4,5.2734375,0,-1.10667270136433
11.6,4,5.2685546875,0,-1.11157537253131
11.7,4,5.2880859375,0,-1.09206398119829
11.8,4,5.3271484375,0,-1.05302133986526
11.9,4,5.3515625,0,-1.02862713603224
12,4,5.3173828125,0,-1.06282668219922
12.1,4,5.341796875,0,-1.0384324783662
12.2,4,5.3515625,0,-1.02868671203317
12.3,4,5.3515625,0,-1.02870657070015
12.4,4,5.390625,0,-0.989663929367128
12.5,4,5.3369140625,0,-1.04339472553411
12.6,4,5.3759765625,0,-1.00435208420108
12.7,4,5.4296875,0,-0.950661005368061
12.8,4,5.4248046875,0,-0.955563676535038
12.9,4,5.41015625,0,-0.970231972702016
13,4,5.439453125,0,-0.940954956368993
13.1,4,5.419921875,0,-0.960506065035972
13.2,4,5.419921875,0,-0.960525923702949
13.3,4,5.46875,0,-0.911717657369927
13.4,4,5.458984375,0,-0.921503141036904
13.5,4,5.44921875,0,-0.931288624703882
13.6,4,5.458984375,0,-0.921542858370859
13.7,4,5.4833984375,0,-0.897148654537837
13.8,4,5.5126953125,0,-0.867871638204814
13.9,4,5.517578125,0,-0.863008684371792
14,4,5.517578125,0,-0.863028543038769
14.1,4,5.5419921875,0,-0.838634339205747
14.2,4,5.517578125,0,-0.863068260372724
14.3,4,5.498046875,0,-0.882619369039702
14.4,4,5.5517578125,0,-0.828928290206679
14.5,4,5.5859375,0,-0.794768461373658
