t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l
0,0,0,0,4.74609375,0,0,-0,-13.1466796875,0,0,1.48,2.77
0.1,0,0,0,4.70703125,0,0,0,-13.7408984375,0,0,1.48,2.77
0.2,0,0,0,4.6923828125,0,0,0,-14.396962890625,0,0,1.48,2.77
0.3,0,0,0,4.7119140625,0,0,-0,-15.145537109375,0,0,1.48,2.77
0.4,0,0,0,4.70703125,0,0,0,-15.829375,0,0,1.48,2.77
0.5,0,0,0,4.70703125,0,0,0,-16.526015625,0,0,1.48,2.77
0.6,0,0,0,4.6630859375,0,0,0,-17.100927734375,0,0,1.48,2.77
0.7,0,0,0,4.697265625,0,0,-0,-17.8857421875,0,0,1.48,2.77
0.8,0,0,0,4.658203125,0,0,0,-18.472734375,0,0,1.48,2.77
0.9,0,0,0,4.6533203125,0,0,0,-19.148623046875,0,0,1.48,2.77
1,0,6.3412,0,4.6533203125,0,0,0,-0,0,1,1.48,2.77
1.1,0,6.3412,0,4.638671875,0,0,-0.267138671874999,-0,0,1,1.48,2.77
1.2,0,6.3412,0.00063412,4.638671875,0,0,-0.589309223124999,-0,0,1,1.48,2.77
1.3,0,6.3412,0.0018896776,4.619140625,0,0,-0.830824635574999,-0,0,1,1.48,2.77
1.4,0,6.3412,0.003754180636,4.638671875,0,0,-1.224699189749,-0,0,1,1.48,2.77
1.5,0,6.3412,0.00621532464352,4.6142578125,0,0,-1.4416426023244,-0,0,1,1.48,2.77
1.6,0,6.3412,0.009260990352826,4.5947265625,0,0,-1.67389791363713,-0,0,1,1.48,2.77
1.7,0,6.3412,0.0128792412154815,4.580078125,0,0,-1.92181375023681,-0,0,1,1.48,2.77
1.8,0,6.3412,0.0170583209618487,4.560546875,0,0,-2.14667635311626,-0,0,1,1.48,2.77
1.9,0,6.3412,0.0217866511891669,4.5556640625,0,0,-2.42627598098965,-0,0,1,1.48,2.77
2,0,6.3412,0.0270528289798426,4.5556640625,0,0,-2.72258268861871,-0,0,1,1.48,2.77
2.1,0,6.3412,0.0328456245495859,4.5361328125,0,0,-2.93828929268615,-0,0,1,1.48,2.77
2.2,0,6.3412,0.0391539789250363,4.5361328125,0,0,-3.22828597834088,-0,0,1,1.48,2.77
2.3,0,6.3412,0.0459670016505227,4.5263671875,0,0,-3.47675990578918,-0,0,1,1.48,2.77
2.4,0,6.3412,0.0532739685236069,4.5068359375,0,0,-3.68303505130631,-0,0,1,1.48,2.77
2.5,0,6.3412,0.0610643193590644,4.4775390625,0,0,-3.84643548579282,-0,0,1,1.48,2.77
2.6,0,6.3412,0.0693276557809604,4.462890625,0,0,-4.0639416221251,-0,0,1,1.48,2.77
2.7,0,6.3412,0.0780537390424825,4.423828125,0,0,-4.18033669692435,-0,0,1,1.48,2.77
2.8,0,6.3412,0.0872324878731961,4.43359375,0,0,-4.48688840861852,-0,0,1,1.48,2.77
2.9,0,6.3412,0.0968539763533912,4.443359375,0,0,-4.79171024304662,-0,0,1,1.48,2.77
3,0,6.3412,0.106908431815195,4.4140625,0,0,-4.93856029910466,-0,0,1,1.48,2.77
3.1,0,6.3412,0.117386232770128,4.4140625,0,0,-5.19814988005787,-0,0,1,1.48,2.77
3.2,0,6.3412,0.12827790686278,4.4091796875,0,0,-5.43581927239335,-0,0,1,1.48,2.77
3.3,0,6.3412,0.139574128850302,4.375,0,0,-5.55357875908787,-0,0,1,1.48,2.77
3.4,0,6.3412,0.151265718607387,4.375,0,0,-5.80329221104001,-0,0,1,1.48,2.77
3.5,0,6.3412,0.163343639156446,4.3603515625,0,0,-5.99204817854126,-0,0,1,1.48,2.77
3.6,0,6.3412,0.175798994722663,4.345703125,0,0,-6.17742356091044,-0,0,1,1.48,2.77
3.7,0,6.3412,0.18862302881364,4.326171875,0,0,-6.33989571366594,-0,0,1,1.48,2.77
3.8,0,6.3412,0.201807122323325,4.3212890625,0,0,-6.55725650886025,-0,0,1,1.48,2.77
3.9,0,6.3412,0.215342791659935,4.3115234375,0,0,-6.75241506732617,-0,0,1,1.48,2.77
4,0,6.3412,0.22922168689758,4.2724609375,0,0,-6.82738213158439,-0,0,1,1.48,2.77
4.1,0,6.3412,0.243435589951307,4.296875,0,0,-7.15120951691166,-0,0,1,1.48,2.77
4.2,0,6.3412,0.257976412775269,4.2529296875,0,0,-7.20100573431922,-0,0,1,1.48,2.77
4.3,0,6.3412,0.272836195583757,4.2578125,0,0,-7.440744582316,-0,0,1,1.48,2.77
4.4,0,6.3412,0.288007105094798,4.21875,0,0,-7.50275928558097,-0,0,1,1.48,2.77
4.5,0,6.3412,0.303481432796059,4.2333984375,0,0,-7.77460772741929,-0,0,1,1.48,2.77
4.6,0,6.3412,0.319251593232786,4.2041015625,0,0,-7.86943377600166,-0,0,1,1.48,2.77
4.7,0,6.3412,0.335310122317499,4.208984375,0,0,-8.09667040751151,-0,0,1,1.48,2.77
4.8,0,6.3412,0.351649675661194,4.169921875,0,0,-8.14621939182451,-0,0,1,1.48,2.77
4.9,0,6.3412,0.368263026925783,4.1796875,0,0,-8.38610754071987,-0,0,1,1.48,2.77
5,0,6.3412,0.385143066197514,4.169921875,0,0,-8.54632459674814,-0,0,1,1.48,2.77
5.1,0,6.3412,0.402282798381119,4.140625,0,0,-8.6255126846299,-0,0,1,1.48,2.77
5.2,0,6.3412,0.419675341614431,4.150390625,0,0,-8.85668896580997,-0,0,1,1.48,2.77
5.3,0,6.3412,0.437313925703239,4.1064453125,0,0,-8.87150344929172,-0,0,1,1.48,2.77
5.4,0,6.3412,0.45519189057611,4.1357421875,0,0,-9.17401828687601,-0,0,1,1.48,2.77
5.5,0,6.3412,0.473302684758952,4.1015625,0,0,-9.22249488092932,-0,0,1,1.48,2.77
5.6,0,6.3412,0.491639863869081,4.0966796875,0,0,-9.38359310155568,-0,0,1,1.48,2.77
5.7,0,6.3412,0.51019708912853,4.072265625,0,0,-9.46406073817204,-0,0,1,1.48,2.77
5.8,0,6.3412,0.528968125896404,4.0625,0,0,-9.59925888861155,-0,0,1,1.48,2.77
5.9,0,6.3412,0.547946842220008,4.0625,0,0,-9.77069125450438,-0,0,1,1.48,2.77
6,0,6.3412,0.56712720740455,4.0380859375,0,0,-9.84233226481082,-0,0,1,1.48,2.77
6.1,0,6.3412,0.586503290601179,4.033203125,0,0,-9.98826379313098,-0,0,1,1.48,2.77
6.2,0,6.3412,0.606069259413135,4.04296875,0,0,-10.1903314062911,-0,0,1,1.48,2.77
6.3,0,6.3412,0.625819378519792,4.04296875,0,0,-10.3519138942055,-0,0,1,1.48,2.77
6.4,0,6.3412,0.645748008318374,4.0185546875,0,0,-10.4137435810148,-0,0,1,1.48,2.77
6.5,0,6.3412,0.665849603583133,3.9794921875,0,0,-10.4131836674985,-0,0,1,1.48,2.77
6.6,0,6.3412,0.686118712141764,3.9892578125,0,0,-10.6031247141381,-0,0,1,1.48,2.77
6.7,0,6.3412,0.706549973568865,4.00390625,0,0,-10.8112131554548,-0,0,1,1.48,2.77
6.8,0,6.3412,0.72713811789621,3.955078125,0,0,-10.7643630174956,-0,0,1,1.48,2.77
6.9,0,6.3412,0.74787796433965,3.955078125,0,0,-10.9073594322191,-0,0,1,1.48,2.77
7,0,6.3412,0.768764420042433,3.96484375,0,0,-11.0873801206542,-0,0,1,1.48,2.77
7.1,0,6.3412,0.789792478834725,3.9306640625,0,0,-11.0902746885821,-0,0,1,1.48,2.77
7.2,0,6.3412,0.810957220009168,3.935546875,0,0,-11.2450079847409,-0,0,1,1.48,2.77
7.3,0,6.3412,0.832253807112238,3.9453125,0,0,-11.417605412178,-0,0,1,1.48,2.77
7.4,0,6.3412,0.853677486751246,3.935546875,0,0,-11.5107623021241,-0,0,1,1.48,2.77
7.5,0,6.3412,0.875223587416763,3.9013671875,0,0,-11.5035900066394,-0,0,1,1.48,2.77
7.6,0,6.3412,0.896887518320294,3.8916015625,0,0,-11.5897018350311,-0,0,1,1.48,2.77
7.7,0,6.3412,0.918664768247013,3.8818359375,0,0,-11.6731603184168,-0,0,1,1.48,2.77
7.8,0,6.3412,0.940550904423365,3.896484375,0,0,-11.8516315055591,-0,0,1,1.48,2.77
7.9,0,6.3412,0.962541571399366,3.9013671875,0,0,-11.9901154305955,-0,0,1,1.48,2.77
8,0,6.3412,0.984632489945404,3.8623046875,0,0,-11.9512195495384,-0,0,1,1.48,2.77
8.1,0,6.3412,1.00681945596338,3.8623046875,0,0,-12.0639087392953,-0,0,1,1.48,2.77
8.2,0,6.3412,1.02909833941201,3.84765625,0,0,-12.1160834217084,-0,0,1,1.48,2.77
8.3,0,6.3412,1.05146508324606,3.8720703125,0,0,-12.3215717501133,-0,0,1,1.48,2.77
8.4,0,6.3412,1.07391570236949,3.8720703125,0,0,-12.4292116396673,-0,0,1,1.48,2.77
8.5,0,6.3412,1.09644628260213,3.857421875,0,0,-12.4763663914459,-0,0,1,1.48,2.77
8.6,0,6.3412,1.11905297965988,3.828125,0,0,-12.4620203946828,-0,0,1,1.48,2.77
8.7,0,6.3412,1.14173201814822,3.818359375,0,0,-12.5218767821532,-0,0,1,1.48,2.77
8.8,0,6.3412,1.16447969056882,3.837890625,0,0,-12.6963750074505,-0,0,1,1.48,2.77
8.9,0,6.3412,1.18729235633919,3.798828125,0,0,-12.6360131097791,-0,0,1,1.48,2.77
9,0,6.3412,1.2101664408251,3.798828125,0,0,-12.7273242756418,-0,0,1,1.48,2.77
9.1,0,6.3412,1.23309843438566,3.8037109375,0,0,-12.8363338692918,-0,0,1,1.48,2.77
9.2,0,6.3412,1.25608489143092,3.7890625,0,0,-12.8657371663287,-0,0,1,1.48,2.77
9.3,0,6.3412,1.27912242949185,3.798828125,0,0,-12.9899579466849,-0,0,1,1.48,2.77
9.4,0,6.3412,1.3022077283024,3.7939453125,0,0,-13.0544649001282,-0,0,1,1.48,2.77
9.5,0,6.3412,1.3253375288938,3.7841796875,0,0,-13.0973048286564,-0,0,1,1.48,2.77
9.6,0,6.3412,1.34850863270054,3.7890625,0,0,-13.1962706145319,-0,0,1,1.48,2.77
9.7,0,6.3412,1.37171790067826,3.779296875,0,0,-13.235209813332,-0,0,1,1.48,2.77
9.8,0,6.3412,1.39496225243315,3.779296875,0,0,-13.310762934515,-0,0,1,1.48,2.77
9.9,0,6.3412,1.41823866536288,3.7548828125,0,0,-13.2869044563757,-0,0,1,1.48,2.77
10,0,6.3412,1.44154417380877,3.75,0,0,-13.3377162628918,-0,0,1,1.48,2.77
