t,r,y,ym,u,t1,t2,t3,ypb
0.051,0.000400553,4.137008,0,3,0,0,0,0
0.152,0.001193804,4.155816,0,3,0,0,0,0
0.252,0.001979198,4.155093,0,3,0,0,0,0
0.352,0.002764588,4.161964,0,3,0,0,0,0
0.452,0.00354997,4.155816,0,3,0,0,0,0
0.552,0.004335344,4.144242,0,3,0,0,0,0
0.652,0.005120707,4.147135,0,3,0,0,0,0
0.752,0.005906058,4.154369,0,3,0,0,0,0
0.852,0.006691393,4.129413,0,3,0,0,0,0
0.952,0.007476713,4.133029,0,3,0,0,0,0
1.051,0.00825416,4.145327,0,3,0,0,0,0
1.151,0.009039441,4.148944,0,3,0,0,0,0
1.251,0.0098247,4.157986,0,3,0,0,0,0
1.351,0.01060993,4.165943,0,3,0,0,0,0
1.452,0.01140299,4.155454,0,3,0,0,0,0
1.552,0.01218817,4.170645,0,3,0,0,0,0
1.652,0.01297332,4.183666,0,3,0,0,0,0
1.752,0.01375844,4.191261,0,3,0,0,0,0
1.852,0.01454352,4.188368,0,3,0,0,0,0
1.951,0.01532072,4.203197,0,3,0,0,0,0
2.052,0.01611358,4.216218,0,3,0,0,0,0
2.152,0.01689855,4.235388,0,3,0,0,0,0
2.252,0.01768348,4.262515,0,3,0,0,0,0
2.352,0.01846837,4.282407,0,3,0,0,0,0
2.452,0.0192532,4.286747,0,3,0,0,0,0
2.552,0.020038,4.292896,0,3,0,0,0,0
2.652,0.02082274,4.304832,0,3,0,0,0,0
2.752,0.02160743,4.315683,0,3,0,0,0,0
2.851,0.02238422,4.334129,0,3,0,0,0,0
2.952,0.02317665,4.353299,0,3,0,0,0,0
3.052,0.02396117,4.369575,0,3,0,0,0,0
3.152,0.02474564,4.38151,0,3,0,0,0,0
3.252,0.02553004,4.407552,0,3,0,0,0,0
3.352,0.02631439,4.427807,0,3,0,0,0,0
3.452,0.02709866,4.448785,0,3,0,0,0,0
3.552,0.02788287,4.45421,0,3,0,0,0,0
3.651,0.02865917,4.468678,0,3,0,0,0,0
3.751,0.02944325,4.491826,0,3,0,0,0,0
3.852,0.03023508,4.520399,0,3,0,0,0,0
3.951,0.03101117,4.527633,0,3,0,0,0,0
4.051,0.03179502,4.547526,0,3,0,0,0,0
4.152,0.03258662,4.573567,0,3,0,0,0,0
4.252,0.03337031,4.578269,0,3,0,0,0,0
4.352,0.03415392,4.594184,0,3,0,0,0,0
4.451,0.0349296,4.614077,0,3,0,0,0,0
4.552,0.03572087,4.632523,0,3,0,0,0,0
4.652,0.03650422,4.640842,0,3,0,0,0,0
4.752,0.03728748,4.649522,0,3,0,0,0,0
4.852,0.03807064,4.670862,0,3,0,0,0,0
4.952,0.03885371,4.684245,0,3,0,0,0,0
5.051,0.03962886,4.707031,0,3,0,0,0,0
5.152,0.04041956,4.72186,0,3,0,0,0,0
5.252,0.04120234,4.736328,0,3,0,0,0,0
5.352,0.04198502,4.759114,0,3,0,0,0,0
5.452,0.04276759,4.779369,0,3,0,0,0,0
5.552,0.04355006,4.79673,0,3,0,0,0,0
5.652,0.04433241,4.815538,0,3,0,0,0,0
5.752,0.04511467,4.824942,0,3,0,0,0,0
5.852,0.04589681,4.835069,0,3,0,0,0,0
5.952,0.04667883,4.84592,0,3,0,0,0,0
6.052,0.04746074,4.856047,0,3,0,0,0,0
6.151,0.04823472,4.882813,0,3,0,0,0,0
6.252,0.04902421,4.895833,0,3,0,0,0,0
6.352,0.04980576,4.89294,0,3,0,0,0,0
6.452,0.05058719,4.921152,0,3,0,0,0,0
6.552,0.0513685,4.943214,0,3,0,0,0,0
6.652,0.05214968,4.959852,0,3,0,0,0,0
6.752,0.05293072,4.972511,0,3,0,0,0,0
6.852,0.05371165,4.97649,0,3,0,0,0,0
6.952,0.05449243,4.996021,0,3,0,0,0,0
7.052,0.05527308,5.007234,0,3,0,0,0,0
7.151,0.0560458,5.028935,0,3,0,0,0,0
7.251,0.05682617,5.03436,0,3,0,0,0,0
7.351,0.05760641,5.048105,0,3,0,0,0,0
7.451,0.05838651,5.066551,0,3,0,0,0,0
7.552,0.05917426,5.078125,0,3,0,0,0,0
7.652,0.05995407,5.089699,0,3,0,0,0,0
7.752,0.06073372,5.100188,0,3,0,0,0,0
7.852,0.06151323,5.115017,0,3,0,0,0,0
7.952,0.06229259,5.138527,0,3,0,0,0,0
8.051,0.06306399,5.146122,0,3,0,0,0,0
8.152,0.06385083,5.146122,0,3,0,0,0,0
8.252,0.06462973,5.165292,0,3,0,0,0,0
8.352,0.06540845,5.180121,0,3,0,0,0,0
8.452,0.06618702,5.192419,0,3,0,0,0,0
8.552,0.06696542,5.193142,0,3,0,0,0,0
8.652,0.06774367,5.196759,0,3,0,0,0,0
8.751,0.06851396,5.205801,0,3,0,0,0,0
8.852,0.06929964,5.225333,0,3,0,0,0,0
8.951,0.0700696,5.237268,0,3,0,0,0,0
9.052,0.07085493,5.25246,0,3,0,0,0,0
9.152,0.07163232,5.259332,0,3,0,0,0,0
9.252,0.07240953,5.258246,0,3,0,0,0,0
9.352,0.07318655,5.273799,0,3,0,0,0,0
9.452,0.0739634,5.290437,0,3,0,0,0,0
9.552,0.07474007,5.299841,0,3,0,0,0,0
9.652,0.07551655,5.3125,0,3,0,0,0,0
9.752,0.07629284,5.311053,0,3,0,0,0,0
9.852,0.07706895,5.320819,0,3,0,0,0,0
9.951,0.07783711,5.329499,0,3,0,0,0,0
10.052,0.07862059,5.341074,0,3,0,0,0,0
10.152,0.07939612,5.34469,0,3,0,0,0,0
10.251,0.08016371,5.342882,0,3,0,0,0,0
10.352,0.08094659,5.356265,0,3,0,0,0,0
10.452,0.08172154,5.366392,0,3,0,0,0,0
10.552,0.08249627,5.376519,0,3,0,0,0,0
10.652,0.0832708,5.382668,0,3,0,0,0,0
10.752,0.08404513,5.389178,0,3,0,0,0,0
10.852,0.08481925,5.400029,0,3,0,0,0,0
10.952,0.08559316,5.406178,0,3,0,0,0,0
11.052,0.08636685,5.415582,0,3,0,0,0,0
11.152,0.08714034,5.423539,0,3,0,0,0,0
11.252,0.08791361,5.427155,0,3,0,0,0,0
11.352,0.08868667,5.432219,0,3,0,0,0,0
11.452,0.0894595,5.439815,0,3,0,0,0,0
11.552,0.09023212,5.457538,0,3,0,0,0,0
11.652,0.09100451,5.469111,0,3,0,0,0,0
11.752,0.09177668,5.466218,0,3,0,0,0,0
11.85,0.09253318,5.465857,0,3,0,0,0,0
11.952,0.09332033,5.469473,0,3,0,0,0,0
12.052,0.09409181,5.468027,0,3,0,0,0,0
12.152,0.09486306,5.478154,0,3,0,0,0,0
12.252,0.09563407,5.485388,0,3,0,0,0,0
12.352,0.09640485,5.480324,0,3,0,0,0,0
12.452,0.0971754,5.493707,0,3,0,0,0,0
12.552,0.0979457,5.507813,0,3,0,0,0,0
12.652,0.09871576,5.514685,0,3,0,0,0,0
12.751,0.09947788,5.523727,0,3,0,0,0,0
12.852,0.1002551,5.526982,0,3,0,0,0,0
12.951,0.1010168,5.519025,0,3,0,0,0,0
13.051,0.1017859,5.516131,0,3,0,0,0,0
