t,y,ypb,r,u
0.08,6.628689,0,0.35,0
0.18,6.652922,6.628689,0.35,4
0.279,6.668475,6.652922,0.35,4
0.381,6.670283,6.668475,0.35,4
0.48,6.679326,6.670283,0.35,4
0.58,6.692347,6.679326,0.35,4
0.681,6.720558,6.692347,0.35,4
0.78,6.735388,6.720558,0.35,4
0.88,6.741175,6.735388,0.35,4
0.98,6.749132,6.741175,0.35,4
1.079,6.747685,6.749132,0.35,4
1.18,6.759259,6.747685,0.35,4
1.28,6.754919,6.759259,0.35,4
1.38,6.763599,6.754919,0.35,4
1.481,6.774812,6.763599,0.35,4
1.58,6.776982,6.774812,0.35,4
1.68,6.788918,6.776982,0.35,4
1.78,6.787109,6.788918,0.35,4
1.88,6.783493,6.787109,0.35,4
1.98,6.796152,6.783493,0.35,4
2.08,6.807364,6.796152,0.35,4
2.18,6.805917,6.807364,0.35,4
2.28,6.809172,6.805917,0.35,4
2.38,6.818214,6.809172,0.35,4
2.48,6.832321,6.818214,0.35,4
2.58,6.837384,6.832321,0.35,4
2.68,6.841363,6.837384,0.35,4
2.78,6.844256,6.841363,0.35,4
2.88,6.839916,6.844256,0.35,4
2.98,6.862341,6.839916,0.35,4
3.08,6.867043,6.862341,0.35,4
3.18,6.880425,6.867043,0.35,4
3.28,6.891638,6.880425,0.35,4
3.38,6.898148,6.891638,0.35,4
3.48,6.898148,6.898148,0.35,4
3.58,6.913701,6.898148,0.35,4
3.68,6.916233,6.913701,0.35,4
3.78,6.919488,6.916233,0.35,4
3.878,6.92636,6.919488,0.35,4
3.98,6.932508,6.92636,0.35,4
4.08,6.945891,6.932508,0.35,4
4.18,6.95204,6.945891,0.35,4
4.281,6.958189,6.95204,0.35,4
4.38,6.957827,6.958189,0.35,4
4.48,6.960721,6.957827,0.35,4
4.58,6.970848,6.960721,0.35,4
4.68,6.986039,6.970848,0.35,4
4.78,6.991464,6.986039,0.35,4
4.88,7.0034,6.991464,0.35,4
4.98,7.022931,7.0034,0.35,4
5.08,7.028357,7.022931,0.35,4
5.18,7.024378,7.028357,0.35,4
5.281,7.025463,7.024378,0.35,4
5.38,7.037399,7.025463,0.35,4
5.48,7.050781,7.037399,0.35,4
5.579,7.067057,7.050781,0.35,4
5.68,7.066334,7.067057,0.35,4
5.78,7.078993,7.066334,0.35,4
5.88,7.087674,7.078993,0.35,4
5.98,7.090205,7.087674,0.35,4
6.08,7.094545,7.090205,0.35,4
6.18,7.099609,7.094545,0.35,4
6.28,7.110822,7.099609,0.35,4
6.38,7.112268,7.110822,0.35,4
6.481,7.119864,7.112268,0.35,4
6.58,7.13397,7.119864,0.35,4
6.68,7.137225,7.13397,0.35,4
6.78,7.143735,7.137225,0.35,4
6.88,7.129991,7.143735,0.35,4
6.98,7.14048,7.129991,0.35,4
7.08,7.157841,7.14048,0.35,4
7.18,7.163629,7.157841,0.35,4
7.28,7.170139,7.163629,0.35,4
7.38,7.170862,7.170139,0.35,4
7.48,7.171224,7.170862,0.35,4
7.58,7.176288,7.171224,0.35,4
7.68,7.177372,7.176288,0.35,4
7.78,7.181713,7.177372,0.35,4
7.88,7.197989,7.181713,0.35,4
7.98,7.203414,7.197989,0.35,4
8.08,7.203053,7.203414,0.35,4
8.18,7.210648,7.203053,0.35,4
8.28,7.214627,7.210648,0.35,4
8.38,7.212457,7.214627,0.35,4
8.481,7.212818,7.212457,0.35,4
8.58,7.211733,7.212818,0.35,4
8.68,7.213542,7.211733,0.35,4
8.78,7.216435,7.213542,0.35,4
8.88,7.218605,7.216435,0.35,4
8.98,7.230179,7.218605,0.35,4
9.08,7.230179,7.230179,0.35,4
9.18,7.233073,7.230179,0.35,4
9.28,7.240668,7.233073,0.35,4
9.38,7.234881,7.240668,0.35,4
9.481,7.234519,7.234881,0.35,4
9.58,7.245732,7.234519,0.35,4
9.678,7.251157,7.245732,0.35,4
9.78,7.248987,7.251157,0.35,4
9.88,7.259838,7.248987,0.35,4
9.98,7.264902,7.259838,0.35,4
10.08,7.261646,7.264902,0.35,4
10.18,7.263455,7.261646,0.35,4
10.28,7.263093,7.263455,0.35,4
10.38,7.270689,7.263093,0.35,4
10.48,7.26454,7.270689,0.35,4
10.58,7.267433,7.26454,0.35,4
10.68,7.272135,7.267433,0.35,4
10.78,7.272859,7.272135,0.35,4
10.88,7.276475,7.272859,0.35,4
10.98,7.280816,7.276475,0.35,4
11.08,7.269965,7.280816,0.35,4
11.18,7.275752,7.269965,0.35,4
11.28,7.283348,7.275752,0.35,4
11.38,7.286241,7.283348,0.35,4
11.48,7.29239,7.286241,0.35,4
11.58,7.297453,7.29239,0.35,4
11.681,7.2989,7.297453,0.35,4
11.78,7.297815,7.2989,0.35,4
11.88,7.29673,7.297815,0.35,4
11.98,7.291667,7.29673,0.35,4
12.08,7.287688,7.291667,0.35,4
12.18,7.29673,7.287688,0.35,4
12.28,7.292752,7.29673,0.35,4
12.38,7.291667,7.292752,0.35,4
12.48,7.297092,7.291667,0.35,4
12.58,7.301071,7.297092,0.35,4
12.68,7.305411,7.301071,0.35,4
12.78,7.312644,7.305411,0.35,4
12.88,7.309751,7.312644,0.35,4
12.98,7.303964,7.309751,0.35,4
13.08,7.311198,7.303964,0.35,4
13.181,7.321325,7.311198,0.35,4
13.28,7.317708,7.321325,0.35,4
13.38,7.314815,7.317708,0.35,4
13.48,7.314091,7.314815,0.35,4
13.581,7.310836,7.314091,0.35,4
13.68,7.31156,7.310836,0.35,4
13.78,7.323133,7.31156,0.35,4
13.88,7.316261,7.323133,0.35,4
13.98,7.317708,7.316261,0.35,4
14.08,7.323495,7.317708,0.35,4
14.18,7.330368,7.323495,0.35,4
14.28,7.322772,7.330368,0.35,4
14.38,7.316623,7.322772,0.35,4
14.48,7.317347,7.316623,0.35,4
14.58,7.317347,7.317347,0.35,4
14.68,7.324942,7.317347,0.35,4
14.78,7.329282,7.324942,0.35,4
14.88,7.318793,7.329282,0.35,4
14.98,7.32458,7.318793,0.35,4
15.08,7.326389,7.32458,0.35,4
15.18,7.317347,7.326389,0.35,4
15.28,7.312283,7.317347,0.35,4
15.38,7.324942,7.312283,0.35,4
15.48,7.333622,7.324942,0.35,4
15.58,7.337601,7.333622,0.35,4
15.68,7.331452,7.337601,0.35,4
15.78,7.337601,7.331452,0.35,4
15.88,7.340857,7.337601,0.35,4
15.98,7.329644,7.340857,0.35,4
16.08,7.325665,7.329644,0.35,4
16.18,7.330368,7.325665,0.35,4
16.281,7.330006,7.330368,0.35,4
16.381,7.327836,7.330006,0.35,4
16.48,7.337963,7.327836,0.35,4
16.58,7.327474,7.337963,0.35,4
16.679,7.331091,7.327474,0.35,4
16.78,7.322772,7.331091,0.35,4
16.88,7.325665,7.322772,0.35,4
16.98,7.336878,7.325665,0.35,4
17.08,7.32241,7.336878,0.35,4
17.18,7.339771,7.32241,0.35,4
17.28,7.337601,7.339771,0.35,4
17.38,7.323495,7.337601,0.35,4
17.48,7.329644,7.323495,0.35,4
17.58,7.333622,7.329644,0.35,4
17.68,7.330368,7.333622,0.35,4
17.78,7.317708,7.330368,0.35,4
17.88,7.320602,7.317708,0.35,4
17.981,7.331091,7.320602,0.35,4
18.08,7.330368,7.331091,0.35,4
18.18,7.32241,7.330368,0.35,4
18.28,7.317708,7.32241,0.35,4
18.38,7.325304,7.317708,0.35,4
18.481,7.32458,7.325304,0.35,4
18.58,7.328197,7.32458,0.35,4
18.68,7.320963,7.328197,0.35,4
18.781,7.329644,7.320963,0.35,4
18.88,7.330006,7.329644,0.35,4
18.98,7.333622,7.330006,0.35,4
19.08,7.331452,7.333622,0.35,4
19.18,7.327112,7.331452,0.35,4
19.28,7.325665,7.327112,0.35,4
19.38,7.329644,7.325665,0.35,4
19.48,7.330368,7.329644,0.35,4
19.58,7.325665,7.330368,0.35,4
19.68,7.334346,7.325665,0.35,4
19.78,7.32024,7.334346,0.35,4
19.88,7.31807,7.32024,0.35,4
19.98,7.323495,7.31807,0.35,4
20.08,7.320602,7.323495,0.35,4
20.18,7.32675,7.320602,0.35,4
20.28,7.324219,7.32675,0.35,4
20.38,7.33941,7.324219,0.35,4
20.481,7.333622,7.33941,0.35,4
20.58,7.327474,7.333622,0.35,4
20.68,7.320963,7.327474,0.35,4
20.78,7.329644,7.320963,0.35,4
20.88,7.321325,7.329644,0.35,4
20.981,7.324942,7.321325,0.35,4
21.08,7.325304,7.324942,0.35,4
21.18,7.329282,7.325304,0.35,4
21.28,7.336878,7.329282,0.35,4
21.38,7.328559,7.336878,0.35,4
21.48,7.3159,7.328559,0.35,4
21.58,7.315538,7.3159,0.35,4
21.68,7.339771,7.315538,0.35,4
21.779,7.332899,7.339771,0.35,4
21.88,7.331452,7.332899,0.35,4
21.98,7.326389,7.331452,0.35,4
22.08,7.333984,7.326389,0.35,4
22.18,7.335069,7.333984,0.35,4
22.28,7.334346,7.335069,0.35,4
22.38,7.341218,7.334346,0.35,4
22.48,7.335431,7.341218,0.35,4
22.58,7.337239,7.335431,0.35,4
22.68,7.330006,7.337239,0.35,4
22.78,7.325665,7.330006,0.35,4
22.88,7.329282,7.325665,0.35,4
22.981,7.337239,7.329282,0.35,4
23.081,7.327836,7.337239,0.35,4
23.18,7.333261,7.327836,0.35,4
23.28,7.332538,7.333261,0.35,4
23.38,7.329644,7.332538,0.35,4
23.48,7.33941,7.329644,0.35,4
23.58,7.334708,7.33941,0.35,4
23.68,7.326389,7.334708,0.35,4
23.78,7.32458,7.326389,0.35,4
23.88,7.335793,7.32458,0.35,4
23.98,7.337239,7.335793,0.35,4
24.08,7.328197,7.337239,0.35,4
24.18,7.329282,7.328197,0.35,4
24.281,7.323133,7.329282,0.35,4
24.38,7.317347,7.323133,0.35,4
24.48,7.32241,7.317347,0.35,4
24.58,7.337601,7.32241,0.35,4
24.68,7.338325,7.337601,0.35,4
24.78,7.331091,7.338325,0.35,4
24.88,7.327836,7.331091,0.35,4
24.98,7.329282,7.327836,0.35,4
25.08,7.327836,7.329282,0.35,4
25.18,7.32675,7.327836,0.35,4
25.28,7.333261,7.32675,0.35,4
25.38,7.333984,7.333261,0.35,4
25.48,7.323133,7.333984,0.35,4
25.579,7.327112,7.323133,0.35,4
25.68,7.329282,7.327112,0.35,4
25.78,7.323495,7.329282,0.35,4
25.88,7.332899,7.323495,0.35,4
25.98,7.328559,7.332899,0.35,4
26.08,7.349537,7.328559,0.35,4
26.18,7.327112,7.349537,0.35,4
26.28,7.330368,7.327112,0.35,4
26.38,7.336878,7.330368,0.35,4
26.48,7.340495,7.336878,0.35,4
26.58,7.332899,7.340495,0.35,4
26.68,7.337963,7.332899,0.35,4
26.78,7.339048,7.337963,0.35,4
26.88,7.342665,7.339048,0.35,4
26.98,7.338325,7.342665,0.35,4
27.078,7.333984,7.338325,0.35,4
27.18,7.337239,7.333984,0.35,4
27.28,7.336878,7.337239,0.35,4
27.379,7.325665,7.336878,0.35,4
27.48,7.327836,7.325665,0.35,4
27.58,7.319879,7.327836,0.35,4
27.68,7.32458,7.319879,0.35,4
27.78,7.331814,7.32458,0.35,4
27.88,7.336154,7.331814,0.35,4
27.98,7.345197,7.336154,0.35,4
28.079,7.333984,7.345197,0.35,4
28.181,7.337601,7.333984,0.35,4
28.28,7.330006,7.337601,0.35,4
28.38,7.330729,7.330006,0.35,4
28.48,7.342665,7.330729,0.35,4
28.579,7.33941,7.342665,0.35,4
28.68,7.334708,7.33941,0.35,4
28.78,7.335069,7.334708,0.35,4
28.88,7.331091,7.335069,0.35,4
28.979,7.327836,7.331091,0.35,4
29.08,7.332538,7.327836,0.35,4
29.18,7.333984,7.332538,0.35,4
29.28,7.337963,7.333984,0.35,4
29.38,7.339771,7.337963,0.35,4
29.48,7.330006,7.339771,0.35,4
29.581,7.334346,7.330006,0.35,4
29.68,7.341941,7.334346,0.35,4
29.78,7.336516,7.341941,0.35,4
29.88,7.323495,7.336516,0.35,4
29.98,7.333984,7.323495,0.35,4
30.079,7.332899,7.333984,0.35,4
30.18,7.339771,7.332899,0.35,4
30.28,7.339771,7.339771,0.35,4
30.38,7.335793,7.339771,0.35,4
30.48,7.336878,7.335793,0.35,4
30.58,7.331814,7.336878,0.35,4
30.68,7.324219,7.331814,0.35,4
30.78,7.331091,7.324219,0.35,4
30.88,7.329282,7.331091,0.35,4
30.981,7.331814,7.329282,0.35,4
31.08,7.337601,7.331814,0.35,4
31.18,7.339048,7.337601,0.35,4
31.28,7.327112,7.339048,0.35,4
31.38,7.326027,7.327112,0.35,4
31.48,7.324219,7.326027,0.35,4
31.58,7.334346,7.324219,0.35,4
31.68,7.344473,7.334346,0.35,4
31.78,7.336878,7.344473,0.35,4
31.88,7.336516,7.336878,0.35,4
31.981,7.337601,7.336516,0.35,4
32.08,7.335793,7.337601,0.35,4
32.18,7.327474,7.335793,0.35,4
32.28,7.333622,7.327474,0.35,4
32.38,7.327474,7.333622,0.35,4
32.481,7.326389,7.327474,0.35,4
32.58,7.328197,7.326389,0.35,4
32.681,7.32675,7.328197,0.35,4
32.78,7.322049,7.32675,0.35,4
32.88,7.326027,7.322049,0.35,4
32.98,7.322772,7.326027,0.35,4
33.081,7.331091,7.322772,0.35,4
33.177,7.337963,7.331091,0.35,4
33.281,7.340495,7.337963,0.35,4
33.38,7.333622,7.340495,0.35,4
33.48,7.334708,7.333622,0.35,4
33.58,7.336154,7.334708,0.35,4
33.68,7.336516,7.336154,0.35,4
33.78,7.330368,7.336516,0.35,4
33.88,7.326027,7.330368,0.35,4
33.98,7.322049,7.326027,0.35,4
34.08,7.326027,7.322049,0.35,4
34.18,7.328197,7.326027,0.35,4
34.28,7.32458,7.328197,0.35,4
34.38,7.318431,7.32458,0.35,4
34.48,7.330368,7.318431,0.35,4
34.58,7.329644,7.330368,0.35,4
34.679,7.327112,7.329644,0.35,4
34.78,7.319517,7.327112,0.35,4
34.88,7.320602,7.319517,0.35,4
34.98,7.323133,7.320602,0.35,4
35.081,7.310836,7.323133,0.35,4
35.18,7.319517,7.310836,0.35,4
35.28,7.318431,7.319517,0.35,4
