t,r,y,ym,u,theta1,theta2,theta3
0,2,0,0,0.33,1.309,8.892,0.165
0.1,2,0.00281004775043388,0,0.583547798473898,1.309,8.892,0.165
0.2,2,0.00830487376235057,0.02,0.829471008734549,1.309,8.892,0.165
0.3,2,0.0162489320464035,0.05,1.05765551700601,1.309,8.89200000000329,0.165000001169513
0.4,2,0.0264407685820788,0.0848,1.27086909004457,1.30900000000569,8.89200000003606,0.16500000960728
0.5,2,0.0386884165214553,0.1217,1.46970406072053,1.30900000004953,8.89200000015905,0.165000034351594
0.6,2,0.052812544210679,0.159302,1.65504922430297,1.30900000021686,8.89200000046498,0.165000084864142
0.7,2,0.068645134591774,0.196886,1.82769075745085,1.30900000066699,8.89200000106962,0.165000169684059
0.8,2,0.0860289393404943,0.23408498,1.98838039221633,1.30900000164594,8.89200000210193,0.165000295928214
0.9,2,0.104816978433403,0.27071561,2.13783880040439,1.30900000349124,8.89200000369533,0.16500046921669
1,2,0.124871376110525,0.3066900752,2.27669506235258,1.30900000663019,8.89200000598079,0.165000693773437
1.1,2,0.14606365844482,0.3419701517,2.40561702285159,1.30900001157322,8.89200000908161,0.165000972583389
1.2,2,0.16827372878583,0.376543289198,2.52519238690445,1.30900001890391,8.8920000131097,0.165001307554255
1.3,2,0.191389477509096,0.41041015643,2.63598461166561,1.30900002926658,8.89200001816302,0.165001699666782
1.4,2,0.215306302412325,0.44357815715402,2.73852433362116,1.30900004335269,8.89200002432402,0.165002149108337
1.5,2,0.239926673008764,0.47605805595173,2.83331270182738,1.30900006188652,8.89200003165884,0.165002655390381
1.6,2,0.26515971562812,0.507862223779045,2.92082268522213,1.3090000856109,8.89200004021704,0.165003217451616
1.7,2,0.290920821420496,0.539003727133185,3.00150059621919,1.3090001152733,8.89200005003189,0.165003833748794
1.8,2,0.317131275740072,0.569495856572464,3.07576750681544,1.30900015161274,8.89200006112094,0.165004502336848
1.9,2,0.34371790835205,0.599351884020772,3.14402064245153,1.30900019534763,8.89200007348685,0.165005220939763
2,2,0.370612763004894,0.628584939179202,3.2066346715637,1.30900024716477,8.89200008711851,0.165005987013288
2.1,2,0.397752785424836,0.657207947918209,3.26396293537625,1.30900030770967,8.89200010199212,0.165006797800411
2.2,2,0.425079528746372,0.68523360289592,3.31633861280683,1.30900037757809,8.89200011807254,0.165007650380386
