t,r,snimac1,ym,spir,theta1,theta2,theta3,ypb,Ts,vent
0.100004,0.000785,4.572664,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.200004,0.001571,4.562850,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.300004,0.002356,4.582478,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.400008,0.003142,4.572664,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.500012,0.003927,4.562850,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.600012,0.004712,4.553036,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.700016,0.005498,4.533406,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
0.800016,0.006283,4.513774,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
0.900020,0.007069,4.553036,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
1.000020,0.007854,4.513774,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.100020,0.008639,4.513774,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.200020,0.009424,4.474506,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.300024,0.010210,4.484324,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
1.400024,0.010995,4.484324,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.500024,0.011780,4.494141,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.600024,0.012565,4.503958,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.700028,0.013350,4.503958,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
1.800028,0.014136,4.474506,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
1.900028,0.014921,4.484324,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
2.000028,0.015706,4.494141,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
2.100028,0.016491,4.523591,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
2.200028,0.017276,4.523591,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
2.300028,0.018060,4.553036,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
2.400028,0.018845,4.513774,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
2.500028,0.019630,4.523591,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
2.600032,0.020415,4.592291,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
2.700032,0.021200,4.582478,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
