time,r,snimac1,ym,spir,theta1,theta2,theta3,y0
0,0,7.568359375,0,3,0,0,0,0
0.1,0.00078539784041544,7.529296875,0,3,0,0,0,0
0.2,0.00157079374293978,7.587890625,0,3,0,0,0,0
0.3,0.00235618576968671,7.548828125,0,3,0,0,0,0
0.4,0.00314157198277948,7.578125,0,3,0,0,0,0
0.5,0.00392695044435567,7.5634765625,0,3,0,0,0,0
0.6,0.004712319216572,7.6123046875,0,3,0,0,0,0
0.7,0.00549767636160911,7.568359375,0,3,0,0,0,0
0.8,0.0062830199416763,7.5634765625,0,3,0,0,0,0
0.9,0.00706834801901637,7.5244140625,0,3,0,0,0,0
1,0.00785365865591034,7.5146484375,0,3,0,0,0,0
1.1,0.00863894991468229,7.5244140625,0,3,0,0,0,0
1.2,0.00942421985770409,7.548828125,0,3,0,0,0,0
1.3,0.0102094665474002,7.529296875,0,3,0,0,0,0
1.4,0.0109946880462526,7.4853515625,0,3,0,0,0,0
1.5,0.0117798824168051,7.4609375,0,3,0,0,0,0
1.6,0.0125650477216687,7.4658203125,0,3,0,0,0,0
1.7,0.0133501820235262,7.470703125,0,3,0,0,0,0
1.8,0.0141352833851366,7.44140625,0,3,0,0,0,0
1.9,0.0149203498693404,7.4462890625,0,3,0,0,0,0
2,0.0157053795390641,7.44140625,0,3,0,0,0,0
2.1,0.0164903704573251,7.4267578125,0,3,0,0,0,0
2.2,0.0172753206872361,7.548828125,0,3,0,0,0,0
2.3,0.0180602282920107,7.3974609375,0,3,0,0,0,0
2.4,0.0188450913349673,7.40234375,0,3,0,0,0,0
2.5,0.0196299078795343,7.36328125,0,3,0,0,0,0
2.6,0.020414675989255,7.3828125,0,3,0,0,0,0
2.7,0.0211993937277921,7.34375,0,3,0,0,0,0
2.8,0.0219840591589325,7.34375,0,3,0,0,0,0
2.9,0.0227686703465923,7.373046875,0,3,0,0,0,0
3,0.0235532253548213,7.3583984375,0,3,0,0,0,0
3.1,0.0243377222478082,7.3046875,0,3,0,0,0,0
3.2,0.0251221590898848,7.28515625,0,3,0,0,0,0
3.3,0.0259065339455311,7.32421875,0,3,0,0,0,0
3.4,0.0266908448793802,7.2998046875,0,3,0,0,0,0
3.5,0.0274750899562229,7.3095703125,0,3,0,0,0,0
3.6,0.0282592672410123,7.2265625,0,3,0,0,0,0
3.7,0.0290433747988689,7.2509765625,0,3,0,0,0,0
3.8,0.0298274106950854,7.2314453125,0,3,0,0,0,0
3.9,0.030611372995131,7.2216796875,0,3,0,0,0,0
4,0.0313952597646567,7.2412109375,0,3,0,0,0,0
4.1,0.0321790690694999,7.2265625,0,3,0,0,0,0
4.2,0.0329627989756889,7.16796875,0,3,0,0,0,0
4.3,0.0337464475494483,7.158203125,0,3,0,0,0,0
4.4,0.0345300128572029,7.16796875,0,3,0,0,0,0
4.5,0.0353134929655833,7.2119140625,0,3,0,0,0,0
4.6,0.0360968859414303,7.1923828125,0,3,0,0,0,0
4.7,0.0368801898517995,7.1630859375,0,3,0,0,0,0
4.8,0.0376634027639664,7.1142578125,0,3,0,0,0,0
4.9,0.0384465227454309,7.08984375,0,3,0,0,0,0
5,0.0392295478639225,7.1435546875,0,3,0,0,0,0
5.1,0.0400124761874044,7.12890625,0,3,0,0,0,0
5.2,0.0407953057840788,7.1337890625,0,3,0,0,0,0
5.3,0.0415780347223915,7.080078125,0,3,0,0,0,0
5.4,0.0423606610710367,7.0703125,0,3,0,0,0,0
5.5,0.0431431828989617,7.0751953125,0,3,0,0,0,0
5.6,0.0439255982753716,7.080078125,0,3,0,0,0,0
5.7,0.0447079052697343,7.01171875,0,3,0,0,0,0
5.8,0.045490101951785,7.01171875,0,3,0,0,0,0
5.9,0.0462721863915311,6.9677734375,0,3,0,0,0,0
6,0.0470541566592572,6.9921875,0,3,0,0,0,0
6.1,0.0478360108255292,7.03125,0,3,0,0,0,0
6.2,0.0486177469611997,7.0263671875,0,3,0,0,0,0
6.3,0.0493993631374125,6.9873046875,0,3,0,0,0,0
6.4,0.0501808574256075,6.962890625,0,3,0,0,0,0
6.5,0.050962227897525,6.93359375,0,3,0,0,0,0
6.6,0.0517434726252113,6.9677734375,0,3,0,0,0,0
6.7,0.0525245896810225,6.962890625,0,3,0,0,0,0
6.8,0.05330557713763,6.943359375,0,3,0,0,0,0
6.9,0.0540864330680248,6.9482421875,0,3,0,0,0,0
7,0.0548671555455226,6.9482421875,0,3,0,0,0,0
7.1,0.0556477426437683,6.9091796875,0,3,0,0,0,0
7.2,0.0564281924367408,6.962890625,0,3,0,0,0,0
7.3,0.0572085029987579,6.93359375,0,3,0,0,0,0
7.4,0.0579886724044807,6.904296875,0,3,0,0,0,0
7.5,0.0587686987289188,6.8896484375,0,3,0,0,0,0
7.6,0.0595485800474349,6.9091796875,0,3,0,0,0,0
7.7,0.0603283144357492,6.884765625,0,3,0,0,0,0
7.8,0.0611078999699447,6.8896484375,0,3,0,0,0,0
7.9,0.0618873347264716,6.865234375,0,3,0,0,0,0
8,0.0626666167821521,6.8798828125,0,3,0,0,0,0
8.1,0.0634457442141852,6.8359375,0,3,0,0,0,0
8.2,0.0642247151001514,6.845703125,0,3,0,0,0,0
8.3,0.0650035275180175,6.8505859375,0,3,0,0,0,0
8.4,0.0657821795461413,6.8798828125,0,3,0,0,0,0
8.5,0.0665606692632762,6.8310546875,0,3,0,0,0,0
8.6,0.0673389947485763,6.8115234375,0,3,0,0,0,0
8.7,0.0681171540816009,6.826171875,0,3,0,0,0,0
8.8,0.0688951453423191,6.826171875,0,3,0,0,0,0
8.9,0.0696729666111148,6.826171875,0,3,0,0,0,0
9,0.0704506159687913,6.796875,0,3,0,0,0,0
9.1,0.0712280914965763,6.7724609375,0,3,0,0,0,0
9.2,0.0720053912761261,6.748046875,0,3,0,0,0,0
9.3,0.0727825133895307,6.7578125,0,3,0,0,0,0
9.4,0.0735594559193187,6.8115234375,0,3,0,0,0,0
9.5,0.0743362169484615,6.7822265625,0,3,0,0,0,0
9.6,0.0751127945603785,6.787109375,0,3,0,0,0,0
9.7,0.0758891868389417,6.7431640625,0,3,0,0,0,0
9.8,0.0766653918684803,6.748046875,0,3,0,0,0,0
9.9,0.0774414077337856,6.7529296875,0,3,0,0,0,0
10,0.0782172325201154,6.7578125,0,3,0,0,0,0
10.1,0.0789928643131994,6.7431640625,0,3,0,0,0,0
10.2,0.0797683011992432,6.71875,0,3,0,0,0,0
10.3,0.0805435412649332,6.728515625,0,3,0,0,0,0
10.4,0.0813185825974418,6.7333984375,0,3,0,0,0,0
10.5,0.0820934232844315,6.7333984375,0,3,0,0,0,0
10.6,0.0828680614140599,6.728515625,0,3,0,0,0,0
10.7,0.0836424950749844,6.7138671875,0,3,0,0,0,0
10.8,0.0844167223563669,6.689453125,0,3,0,0,0,0
10.9,0.0851907413478787,6.6748046875,0,3,0,0,0,0
