t,r,y,ym,u,theta1,theta2,theta3
0,5,0,0,0,0,0,0
0.1,5.00078539784042,0,0,0,0,0,0
0.2,5.00157079374294,0,0.05,0,0,0,0
0.3,5.00235618576969,0,0.0500078539784042,1.75082466501939e-06,0,0,3.5e-07
0.4,5.00314157198278,1.34577560415693e-07,0.0995157079374294,3.50274926751659e-06,0,0,7.00109964333555e-07
0.5,5.00392695044436,4.95322343218332e-08,0.099531337296317,1.04410976344542e-05,0,0,2.08658074705247e-06
0.6,5.00471231921657,1.46549740266396e-07,0.148551966577883,1.7383809442487e-05,0,4.01840336769678e-13,3.47348825141019e-06
0.7,5.00549767636161,3.12169176421736e-07,0.148575293427797,3.28508877972708e-05,2.7988438148578e-14,2.28311974857833e-14,6.5629613519568e-06
0.8,5.00628301994168,6.20820299297484e-07,0.19711357010427,4.8327659278564e-05,3.82913892490676e-14,1.04910971925273e-12,9.65340135307087e-06
0.9,5.00706834801902,1.07964192397869e-06,0.197144517257135,7.55712347127764e-05,1.15499375437657e-13,1.53060479387197e-12,1.50929105536712e-05
1,5.00785365865591,1.79700918799881e-06,0.245205264602644,0.000102831844187718,2.15192549374362e-13,4.70420755513478e-12,2.053411525114e-05
1.1,5.00863894991468,2.77608404917807e-06,0.245243755564754,0.000145008314835903,5.23395068133697e-13,8.67232503913167e-12,2.89516406125235e-05
1.2,5.0094242198577,4.15516279698379e-06,0.292831748543177,0.000187211076067639,1.01685188161903e-12,1.78585558034746e-11,3.73717752481953e-05
1.3,5.0102094665474,5.92267584400317e-06,0.292877707508254,0.000247387436990224,2.11793318496925e-12,3.1150988420687e-11,4.93766655149727e-05
1.4,5.01099468804625,8.25503668390897e-06,0.339997673256322,0.000307601171126181,3.83958779108661e-12,5.41284665421362e-11,6.1385251885952e-05
1.5,5.01177988241681,1.11763153742024e-05,0.340051025098645,0.000388756936649225,7.08301729383067e-12,8.74354728441004e-11,7.75686374436546e-05
1.6,5.01256504772167,1.48481229906185e-05,0.386707643404221,0.00046996287734912,1.1881485407607e-11,1.37639645191334e-10,9.37569633250942e-05
1.7,5.01335018202353,1.92960802785167e-05,0.386768313671827,0.000574991919445795,2.00025943670013e-11,2.0903223971817e-10,0.000114692151666938
1.8,5.01413528338514,2.47116956776637e-05,0.432966217447396,0.000680085564441113,3.14570228858588e-11,3.08163683968117e-10,0.000135633668815674
1.9,5.01492034986934,3.11222245632575e-05,0.433034132355344,0.000811797930935257,4.94582139987514e-11,4.45066727172484e-10,0.000161876535272656
2,5.01570537953906,3.8738752452449e-05,0.478777908106773,0.000943590844186879,7.38516786778135e-11,6.25293447629696e-10,0.000188127246864549
2.1,5.01649037045733,4.75900073759048e-05,0.478852994530484,0.00110471450451019,1.10120667279651e-10,8.67233734329132e-10,0.000220216610189062
2.2,5.01727532068724,5.79071607633613e-05,0.524147182821096,0.00126593606255435,1.57686782615257e-10,1.17393669414053e-09,0.00025231544643452
2.3,5.01806022829201,6.97195394855774e-05,0.524229368289752,0.00145911860915825,2.25418011464273e-10,1.57531239687024e-09,0.000290773434868296
2.4,5.01884509133497,8.32770309765348e-05,0.569078464199757,0.00165241769894416,3.11891716303858e-10,2.06994492639949e-09,0.000329242618284922
2.5,5.01962990787953,9.86092241169685e-05,0.569167676889775,0.00188022800019788,4.30819515037007e-10,2.70298991556378e-09,0.000374575025300071
2.6,5.02041467598926,0.00011598377561737,0.613576130471109,0.00210817467007084,5.79308691160155e-10,3.46608636339847e-09,0.000419920425992704
2.7,5.02119939372779,0.000135430107141939,0.613672299199672,0.00237310447809589,7.77770055980559e-10,4.42394710882015e-09,0.000472617056413776
2.8,5.02198405915893,0.000157232749338569,0.657644515926291,0.00263819154386326,1.02096199991926e-09,5.55824349126015e-09,0.000525328537767745
2.9,5.02276867034659,0.00018142053746293,0.657747570144953,0.00294265705893086,1.33830060036848e-09,6.95815392022161e-09,0.000585863544617909
3,5.02355322535482,0.000208294024721166,0.701287911358617,0.00324730166696599,1.7210142556499e-09,8.59179429198889e-09,0.000646415299813855
3.1,5.02433772224781,0.000237881053881674,0.70139778114697,0.00359364506039274,2.21033481292698e-09,1.05783204493676e-08,0.000715247512288921
3.2,5.02512215908988,0.000270497388929868,0.744510564498579,0.00394019020965194,2.79242657368069e-09,1.28681229234137e-08,0.000784098392030555
3.3,5.02590653394553,0.000306169488564126,0.744627180557978,0.0043306811070042,3.52370570969089e-09,1.56164526192143e-08,0.000861671634978632
3.4,5.02669084487938,0.000345227552307486,0.787316680444493,0.00472139713173719,4.38333371495331e-09,1.8751210999088e-08,0.000939265466805007
3.5,5.02747508995622,0.00038769627838567,0.787439974091854,0.00515823405806267,5.44689061910272e-09,2.24704655956754e-08,0.0010260088720704
3.6,5.02825926724101,0.00043391956071071,0.829710422088841,0.00559532007290721,6.68413979484337e-09,2.66742645023188e-08,0.00111277477160545
3.7,5.02904337479887,0.000483919976152842,0.829840325250498,0.00608063186162565,8.19446752436335e-09,3.16108118438144e-08,0.00120910308157719
3.8,5.02982741069509,0.000538054403859841,0.871695910540363,0.00656621717069166,9.9353351836963e-09,3.71463350258589e-08,0.00130545575605139
3.9,5.03061137299513,0.000596342954134311,0.871832355745981,0.00710206433769394,1.20352910899222e-08,4.35870842529724e-08,0.00141176961973949
4,5.03139525976466,0.00065915481232916,0.91327722554191,0.00763820980916148,1.44360306584492e-08,5.07588974705632e-08,0.00151810966410152
