t,r,y,ym,u,t1,t2,t3,ypb
0.05,3.93E-04,4.930194,0,3,0,0,0,0
0.25,0.001963491,4.93996,0,3,0,0,0,0
0.45,0.003534263,4.932364,0,3,0,0,0,0
0.65,0.005105,4.923322,0,3,0,0,0,0
0.85,0.006675687,4.896557,0,3,0,0,0,0
1.05,0.008246307,4.899812,0,3,0,0,0,0
1.25,0.009816847,4.881366,0,3,0,0,0,0
1.45,0.01138729,4.891131,0,3,0,0,0,0
1.65,0.01295762,4.879196,0,3,0,0,0,0
1.85,0.01452782,4.899812,0,3,0,0,0,0
2.05,0.01609788,4.909939,0,3,0,0,0,0
2.25,0.01766778,4.923683,0,3,0,0,0,0
2.451,0.01924536,4.938874,0,3,0,0,0,0
2.65,0.02080704,4.959852,0,3,0,0,0,0
2.85,0.02237637,4.981915,0,3,0,0,0,0
3.05,0.02394548,5.005787,0,3,0,0,0,0
3.251,0.0255222,5.026042,0,3,0,0,0,0
3.45,0.02708298,5.048105,0,3,0,0,0,0
3.65,0.02865133,5.076678,0,3,0,0,0,0
3.85,0.0302194,5.119358,0,3,0,0,0,0
4.05,0.03178718,5.129485,0,3,0,0,0,0
4.25,0.03335464,5.16276,0,3,0,0,0,0
4.45,0.03492177,5.20544,0,3,0,0,0,0
4.65,0.03648855,5.228226,0,3,0,0,0,0
4.851,0.03806281,5.25246,0,3,0,0,0,0
5.05,0.03962103,5.285011,0,3,0,0,0,0
5.25,0.04118669,5.309607,0,3,0,0,0,0
5.451,0.04275976,5.342882,0,3,0,0,0,0
5.65,0.04431677,5.363136,0,3,0,0,0,0
5.85,0.04588116,5.38737,0,3,0,0,0,0
6.05,0.0474451,5.41522,0,3,0,0,0,0
6.25,0.04900857,5.4409,0,3,0,0,0,0
6.45,0.05057156,5.460793,0,3,0,0,0,0
6.65,0.05213405,5.479239,0,3,0,0,0,0
6.85,0.05369603,5.511791,0,3,0,0,0,0
7.05,0.05525747,5.534577,0,3,0,0,0,0
7.25,0.05681837,5.557364,0,3,0,0,0,0
7.451,0.05838651,5.57364,0,3,0,0,0,0
7.651,0.05994627,5.602937,0,3,0,0,0,0
7.85,0.06149764,5.62717,0,3,0,0,0,0
8.051,0.06306399,5.639829,0,3,0,0,0,0
8.25,0.06461415,5.660446,0,3,0,0,0,0
8.45,0.06617145,5.679977,0,3,0,0,0,0
8.649,0.06772032,5.690827,0,3,0,0,0,0
8.85,0.06928408,5.715422,0,3,0,0,0,0
9.05,0.07083938,5.730252,0,3,0,0,0,0
9.25,0.07239398,5.743996,0,3,0,0,0,0
9.45,0.07394787,5.759549,0,3,0,0,0,0
9.65,0.07550102,5.776548,0,3,0,0,0,0
9.85,0.07705344,5.789207,0,3,0,0,0,0
10.05,0.07860508,5.802228,0,3,0,0,0,0
10.25,0.08015595,5.818142,0,3,0,0,0,0
10.45,0.08170604,5.84129,0,3,0,0,0,0
10.651,0.08326305,5.859375,0,3,0,0,0,0
10.851,0.08481151,5.863715,0,3,0,0,0,0
11.051,0.08635912,5.877821,0,3,0,0,0,0
11.25,0.08789815,5.874204,0,3,0,0,0,0
11.45,0.08944405,5.892289,0,3,0,0,0,0
11.65,0.09098906,5.901692,0,3,0,0,0,0
11.85,0.09253318,5.916522,0,3,0,0,0,0
12.05,0.09407638,5.925926,0,3,0,0,0,0
12.25,0.09561866,5.942925,0,3,0,0,0,0
12.45,0.09715999,5.950159,0,3,0,0,0,0
12.65,0.09870036,5.964988,0,3,0,0,0,0
12.85,0.1002398,5.96101,0,3,0,0,0,0
13.05,0.1017782,5.963542,0,3,0,0,0,0
13.251,0.1033233,5.964265,0,3,0,0,0,0
13.45,0.104852,5.983796,0,3,0,0,0,0
13.65,0.1063873,5.989222,0,3,0,0,0,0
13.85,0.1079216,5.985966,0,3,0,0,0,0
14.05,0.1094548,5.997179,0,3,0,0,0,0
14.25,0.110987,6.006944,0,3,0,0,0,0
14.45,0.112518,6.013455,0,3,0,0,0,0
14.65,0.114048,6.024305,0,3,0,0,0,0
14.85,0.1155768,6.031901,0,3,0,0,0,0
15.05,0.1171045,6.044922,0,3,0,0,0,0
15.25,0.118631,6.038773,0,3,0,0,0,0
15.45,0.1201564,6.039858,0,3,0,0,0,0
15.65,0.1216806,6.048539,0,3,0,0,0,0
15.85,0.1232035,6.064091,0,3,0,0,0,0
16.05,0.1247253,6.063006,0,3,0,0,0,0
16.25,0.1262458,6.07458,0,3,0,0,0,0
16.45,0.1277651,6.080006,0,3,0,0,0,0
16.65,0.1292831,6.086516,0,3,0,0,0,0
16.849,0.1307922,6.078559,0,3,0,0,0,0
17.051,0.1323228,6.10026,0,3,0,0,0,0
17.25,0.1338294,6.094835,0,3,0,0,0,0
17.451,0.1353498,6.091941,0,3,0,0,0,0
17.651,0.1368613,6.095558,0,3,0,0,0,0
17.85,0.1383639,6.103877,0,3,0,0,0,0
18.051,0.1398802,6.107856,0,3,0,0,0,0
18.25,0.14138,6.116536,0,3,0,0,0,0
18.45,0.142886,6.116175,0,3,0,0,0,0
18.65,0.1443906,6.132089,0,3,0,0,0,0
18.851,0.1459013,6.126302,0,3,0,0,0,0
19.05,0.1473955,6.113281,0,3,0,0,0,0
19.25,0.1488957,6.129919,0,3,0,0,0,0
19.45,0.1503945,6.140046,0,3,0,0,0,0
19.65,0.1518918,6.135344,0,3,0,0,0,0
19.85,0.1533877,6.138599,0,3,0,0,0,0
20.05,0.1548819,6.148365,0,3,0,0,0,0
20.25,0.1563747,6.137515,0,3,0,0,0,0
20.45,0.1578659,6.144386,0,3,0,0,0,0
