t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,vent
0.045,0,0,0,4.11169,0,0,0,-11.38938,0,0,1.48,2.77,6
0.146,0,0,0,4.121455,0,0,0,-12.02496,0,0,1.48,2.77,6
0.246,0,0,0,4.130497,0,0,0,-12.65998,0,0,1.48,2.77,6
0.346,0,0,0,4.1182,0,0,0,-13.23723,0,0,1.48,2.77,6
0.446,0,0,0,4.110966,0,0,0,-13.82669,0,0,1.48,2.77,6
0.546,0,0,0,4.09469,0,0,0,-14.39003,0,0,1.48,2.77,6
0.646,0,0,0,4.092882,0,0,0,-14.99103,0,0,1.48,2.77,6
0.746,0,0,0,4.087457,0,0,0,-15.58175,0,0,1.48,2.77,6
0.845,0,0,0,4.072266,0,0,0,-16.14462,0,0,1.48,2.77,6
0.946,0,0,0,4.058521,0,0,0,-16.70924,0,0,1.48,2.77,6
1.046,0,6.3412,0,4.051288,0,0.02893448,0.02893448,0,0,1,1.48,2.77,6
1.146,0,6.3412,0,4.041522,0,0,-0.2155924,0,0,1,1.48,2.77,6
1.246,0,6.3412,0.00063412,4.026693,0,0,-0.4366455,0,0,1,1.48,2.77,6
1.346,0,6.3412,0.001889678,4.019821,0,0,-0.6859579,0,0,1,1.48,2.77,6
1.446,0,6.3412,0.003754181,4.006076,0,0,-0.9047775,0,0,1,1.48,2.77,6
1.546,0,6.3412,0.006215324,3.997757,0,0,-1.14182,0,0,1,1.48,2.77,6
1.646,0,6.3412,0.009260991,3.9898,0,0,-1.377217,0,0,1,1.48,2.77,6
1.746,0,6.3412,0.01287924,3.983652,0,0,-1.616788,0,0,1,1.48,2.77,6
1.845,0,6.3412,0.01705832,3.968822,0,0,-1.818707,0,0,1,1.48,2.77,6
1.946,0,6.3412,0.02178665,3.958695,0,0,-2.035908,0,0,1,1.48,2.77,6
2.046,0,6.3412,0.02705283,3.951099,0,0,-2.260044,0,0,1,1.48,2.77,6
2.146,0,6.3412,0.03284562,3.947121,0,0,-2.495642,0,0,1,1.48,2.77,6
2.246,0,6.3412,0.03915398,3.94061,0,0,-2.718367,0,0,1,1.48,2.77,6
2.346,0,6.3412,0.045967,3.929036,0,0,-2.91792,0,0,1,1.48,2.77,6
2.446,0,6.3412,0.05327397,3.920717,0,0,-3.127233,0,0,1,1.48,2.77,6
2.546,0,6.3412,0.06106432,3.914569,0,0,-3.342197,0,0,1,1.48,2.77,6
2.645,0,6.3412,0.06932765,3.904803,0,0,-3.539827,0,0,1,1.48,2.77,6
2.745,0,6.3412,0.07805374,3.896846,0,0,-3.741577,0,0,1,1.48,2.77,6
2.846,0,6.3412,0.08723249,3.893952,0,0,-3.960603,0,0,1,1.48,2.77,6
2.946,0,6.3412,0.09685397,3.887804,0,0,-4.163994,0,0,1,1.48,2.77,6
